symbol;isin;name;sector;industry;country;qscore;qscorePerf;MKTCAP;REVPS5YGR;MARGIN5YR;Focf2Rev_AAvg5;ratings_CURR;ratings_1WA;VE/EBITDA;VE/CA;CAPI/TANG;PER;Rendement;Dette nette / EBITDA;Ratio courant;VE/FCF;%M200D;closePrice;quoteCurrency;En Solde;Juste Prix;NPRICE;L%H;priceCurrency;reportCurrency;EV2FCF_CurTTM;EV;TTMFCF;Net Income;NPMTRENDGR;Dette nette;shrOutstanding;EBITDA;PR1DAYPRC;PR5DAYPRC;ChPctPriceMTD;ChPctPrice5Y;YSymbol;businessSummary;AROE5YAVG;YLD+PRY;PDATE;qMKTCAP.USD;VOL10DAVG;EPSTRENDGR;EnSolde2;DCF;TTMFCFSHR;FOCF_AYr5CAGR;MKTCAP.USD;VOL10DUSD;TTMROAPCT;TTMROEPCT;roic;SctRoic;momentum
EDP;PTEDP0AM0009;EDP SA;Utilities;Electric Utilities (NEC);Portugal (PRT);37;0;18493380000,0;2,7;7,3;-16,8;;;27,4;2,4;6,0;16,4;3,4;14,2;1,2;0,0;6,0;4,4;EUR;-100,0;0,0;4,4;73,0;EUR;EUR;;37763882000,0;-1100834000,0;378,0;-1,9;19592290000,0;4134,0;1376,0;-0,5;-0,4;-4,8;-1,5;EDP.LS;;8,7;1,9;2026-05-27T00:00:00;99;6571470,0;4,6;-100,0;0,0;-0,3;;21520746306;34209709,0;2,4;9,7;2,8;utilities;3,0
ALTR;PTALT0AE0002;ALTRI SGPS SA;Basic Materials;Pulp Mills;Portugal (PRT);34;0;1011299000,0;4,1;10,6;0,4;2,0;2,0;270,7;2,1;8,7;47,3;4,2;78,1;1,4;86,7;3,0;5,1;EUR;-100,0;0,0;4,9;55,0;EUR;EUR;86,7;1461873700,0;20980,0;-7,3;-7,5;421855700,0;205,1;5,4;-5,9;-4,1;-1,2;5,6;ALTR.LS;;18,3;9,7;2026-05-26T00:00:00;67;644350,0;-2,9;-100,0;0,0;0,0;;1176848646;3696662,0;1,5;4,9;2,3;Default;13,0
IPR;PTIPR0AM0000;IMPRESA;Services;Television Broadcasting;Portugal (PRT);32;0;30441600,0;0,2;-5,9;8,9;;;9,0;0,9;999,0;26,4;0,0;7,2;0,5;44,6;-7,0;0,2;EUR;-100,0;0,0;0,2;33,0;EUR;;44,6;157312550,0;13443460,0;1,2;-36,7;126871000,0;168,0;17,5;0,0;2,4;3,0;-5,8;IPR.LS;;-7,9;-5,8;2026-05-27T00:00:00;21;78260,0;-36,6;-100,0;0,0;0,1;-11,1;35424889;16502,0;0,3;1,3;1,0;Default;0,0
SNG;PTSNG0AM0007;SONAGI;Services;Real Estate Rental, Development & Operat;Portugal (PRT);29;0;11600000,0;12,0;-50,9;-183,8;;;29,4;10,6;0,7;;0,0;25,3;1,0;0,0;;1,2;EUR;-100,0;0,0;1,2;0,0;EUR;;;81439560,0;;-0,6;;69839560,0;10,0;2,8;0,0;0,0;0,0;;;;-5,0;0,0;2025-11-17T00:00:00;15;0,0;;-100,0;0,0;0,0;75,8;13498920;0,0;;;1,3;REIT;
SCP;PTSCP0AM0001;SPORTING CLUBE DE PORTUGAL FUTEBOL SAD;Services;Professional Sports Venues;Portugal (PRT);26;0;201990400,0;7,6;8,8;-98,5;;;66,4;2,3;999,0;10,1;0,0;27,6;0,6;0,0;1,0;1,0;EUR;-71,0;0,3;1,0;67,0;EUR;;;346012400,0;-135964000,0;20,0;-5,9;144022000,0;202,0;5,2;0,0;4,2;2,0;0,0;SCP.LS;;;0,0;2026-05-27T00:00:00;48;960,0;1,3;-100,0;0,0;-0,7;;235056228;1117,0;5,0;64,7;7,7;Default;5,0
ESON;PTESO0AM0000;ESTORIL SOL SGPS SA CLASS N;Services;Casinos;Portugal (PRT);23;0;41977890,0;0,7;11,0;1,4;;;0,0;0,0;999,0;;0,0;0,0;1,7;0,0;-6,0;3,5;EUR;-100,0;0,0;3,5;34,0;EUR;;;-45385900,0;231800,0;-10,3;;-68560990,0;17,8;29,7;0,0;0,0;-12,1;-11,8;ESON.LS;;3,3;-11,8;2026-05-18T00:00:00;23;0,0;;9,0;3,9;0,0;;48849670;0,0;-1,0;-9,1;14,8;retail;0,0
NVG;PTPTI0AM0006;NAVIGATOR COMPANY SA;Basic Materials;Paper Products (NEC);Portugal (PRT);21;0;2412333000,0;7,3;12,6;4,2;;;50,6;1,8;2,7;21,2;0,0;12,5;1,5;0,0;5,0;3,4;EUR;-100,0;0,0;3,4;77,0;EUR;EUR;;3276938500,0;;17,2;-1,4;809097400,0;711,2;64,8;-0,3;-0,2;1,4;2,2;NVG.LS;;20,5;2,2;2026-05-26T00:00:00;78;621790,0;5,8;-100,0;0,0;0,0;;2807231912;2454373,0;3,5;8,0;3,7;Default;4,0
CTT;PTCTT0AM0001;CTT - CORREIOS DE PORTUGAL SA;Services;Courier Services;Portugal (PRT);18;0;828345800,0;13,6;5,3;46,0;;;72,9;2,7;999,0;16,5;2,3;57,3;0,5;33,7;-11,0;6,2;EUR;-100,0;0,0;6,2;22,0;EUR;EUR;33,7;3195291800,0;147131800,0;4,4;14,1;2511811000,0;132,0;43,9;0,7;-2,9;-3,4;7,5;CTT.LS;;21,0;9,9;2026-05-27T00:00:00;59;400860,0;28,0;-100,0;0,0;1,1;-14,4;963946007;2926910,0;0,9;19,9;2,4;Default;0,0
MLRZE;PTRIZ0AM0009;RAIZE;Financial;Transaction & Payment Services;Portugal (PRT);0;0;7000000,0;22,1;0,3;;;;;;4,0;286,3;0,0;73,2;0,0;0,0;38,0;1,4;EUR;-100,0;0,0;1,4;88,0;EUR;;;;;0,0;;7279660,0;5,0;0,1;0,0;6,9;0,7;12,3;MLRZE.LS;;0,6;12,3;2026-05-25T00:00:00;13;1010,0;;-100,0;0,0;0,0;;8145900;1645,0;;;0,3;finance;1,0
MRL;ES0105025003;MERLIN PROPERTIES SOCIMI SA;Services;Commercial REITs (NEC);Spain (ESP);80;30;9355800000,0;-0,0;64,0;17,2;1,5;1,5;116,4;23,9;1,0;11,0;4,3;31,2;1,7;0,0;12,0;15,4;EUR;-46,0;8,1;15,1;93,0;EUR;EUR;;13218862000,0;;778,9;63,1;3545151000,0;618,7;113,6;-0,7;4,4;1,6;10,0;MRL.MC;;4,4;14,3;2026-05-26T00:00:00;86;994490,0;63,1;-77,0;3,4;0,0;34,7;10887344460;17500584,0;5,4;9,4;4,3;REIT;5,0
EDPR;ES0127797019;EDP RENOVAVEIS SA;Utilities;Renewable IPPs;Spain (ESP);15;0;15015510000,0;5,3;17,6;-114,2;2,0;2,0;49,1;9,1;1,9;64,3;0,0;19,3;0,7;76,9;12,0;14,2;EUR;-100,0;0,0;14,2;92,0;EUR;EUR;76,9;23947257000,0;;70,0;-21,9;9424000000,0;1060,4;488,0;-2,1;-0,2;-0,1;-5,9;EDPR.LS;;2,6;-5,9;2026-05-27T00:00:00;96;811990,0;-20,1;-100,0;0,0;0,0;;17473548987;13380368,0;1,1;2,2;1,4;utilities;3,0
